2016-01-02 13:15:07,468 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MapReduce-Examples:MapReduce-Examples:0.0.1-SNAPSHOT @ /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/pom.xml.
2016-01-02 13:15:07,910 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:07,912 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:15:07,915 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:07,916 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:15:07,956 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MapReduce-Examples/src
2016-01-02 13:15:07,957 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MapReduce-Examples/src/test/java because it overlaps with /MapReduce-Examples/src
2016-01-02 13:15:08,034 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-01-02 13:15:08,553 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MapReduce-Examples:MapReduce-Examples:0.0.1-SNAPSHOT @ /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/pom.xml.
2016-01-02 13:15:08,843 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MapReduce-Examples/src
2016-01-02 13:15:08,844 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /MapReduce-Examples/src/test/java because it overlaps with /MapReduce-Examples/src
2016-01-02 13:15:08,889 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-01-02 13:15:09,019 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:09,020 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:15:09,023 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:09,023 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:15:22,117 [Worker-78] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MapReduce-Examples:MapReduce-Examples:0.0.1-SNAPSHOT @ /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/pom.xml.
2016-01-02 13:15:22,988 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:22,990 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:15:22,993 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:22,994 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:15:24,921 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:24,922 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:15:24,924 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:24,925 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:15:48,618 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:48,619 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:15:48,621 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:48,622 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:15:52,701 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:52,701 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:15:52,703 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:15:52,704 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:16:03,695 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:03,696 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:16:03,702 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:03,703 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:16:08,436 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:08,436 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:16:08,439 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:08,440 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:16:18,496 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:18,497 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:16:18,501 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:18,501 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:16:26,686 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:26,687 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:16:26,690 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:26,691 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:16:32,314 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:32,315 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:16:32,316 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:16:32,317 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:54:38,816 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:54:38,820 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
2016-01-02 13:54:38,822 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:54:38,822 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/test/resources
2016-01-02 13:55:29,913 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-02 13:55:29,918 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/dauut/Dropbox/Ofis/GitHub/MapReduce-Examples/MapReduce-Examples/src/main/resources
